nCount_RNA	merged.clusters	UMAP_1	UMAP_2	Col2a1	eGFP-SV40pA
2614	Mesenchyme	-2.19632343598217	-1.79674424481126	0	0
5197	Endothelium	-4.42352990456432	-10.2676047260735	0	0
3523	Mesenchyme	-0.102493595560489	3.83343706774978	14	2
3623	Mesenchyme	-2.21744136162609	-0.203122990843972	0	0
5506	Mesenchyme	-2.19391683884471	-4.12506927799912	0	0
1517	Muscle	7.78947182349354	-6.48374833416673	0	0
1611	Mesenchyme	-1.60100023098796	5.45455513644485	0	0
3005	Mesenchyme	0.382827538768354	4.21422110247878	14	2
3926	Mesenchyme	-4.87383918114513	-0.0809909577343074	0	0
3735	Mesenchyme	-1.37460450478405	-1.99320222687455	0	0
2269	Mesenchyme	-1.52404896565288	2.60737524676589	0	0
2249	Mesenchyme	-2.39768676110118	1.38708935427932	0	0
12515	Epithelium	9.69744225196034	4.19784794497756	0	0
3474	Mesenchyme	-3.06390885659069	-2.47481252503129	0	0
3918	Mesenchyme	-6.62446622200817	-2.46599616360398	0	0
6949	Mesenchyme	-5.27174500771373	-2.7345289165947	0	0
2797	Mesenchyme	-1.30952171631664	2.43554530787734	0	0
3395	Mesenchyme	-2.98209432907909	3.3923922603157	0	0
8612	Epithelium	12.8627655094066	4.83988819766311	0	0
5595	Epithelium	9.95901699713856	4.07000885653762	0	0
4721	Mesenchyme	-4.52559022255748	1.22925542044906	0	0
1147	Mesenchyme	1.28102155379445	4.25427065539626	7	1
3304	Mesenchyme	-1.3857407981953	-0.388054015752992	0	0
4172	Mesenchyme	-2.11617235489696	-3.56821193051072	0	0
9010	Mesenchyme	-0.740837913235125	-3.60255255055161	0	0
3027	Mesenchyme	-3.04207019158214	1.80244336772231	0	0
12553	Neuronal cells	-1.69158236332744	-4.93339337658616	0	0
4043	Blood and immune cells	8.46068020514637	-13.3337677891228	0	0
7179	Mesenchyme	-0.158503424604831	-0.456990136471709	0	0
9432	Mesenchyme	-6.94677190132946	-2.55599417042466	0	0
2900	Epithelium	10.4992878024974	3.00961409259109	0	0
9350	Muscle	7.93809290579945	-6.63191737484666	0	0
2901	Mesenchyme	-0.640301268776355	2.77521143603591	0	0
2513	Mesenchyme	1.19699384621769	3.67177019763259	3	1
3743	Mesenchyme	-3.85649422951549	-0.479159467560371	0	0
6931	Mesenchyme	-5.49821595497936	-2.87788714718552	0	0
3912	Mesenchyme	-3.41122488327831	-4.04279913258286	0	0
11205	Mesenchyme	0.77107985667378	-1.24558265757295	0	0
5999	Mesenchyme	-5.16010026284069	-0.38912915688487	0	0
6103	Epithelium	13.4588272159496	4.75880251574782	0	0
5401	Mesenchyme	-3.68756369896739	-3.75815119099351	0	0
2671	Mesenchyme	-3.19762281723827	3.09122214961318	0	0
5915	Epithelium	10.2376749103466	3.91093741107253	0	0
6117	Mesenchyme	-1.7567181999287	5.53971920657424	0	0
1067	Mesenchyme	-2.41875867195934	-2.55291642498704	0	0
2696	Epithelium	10.4143755023876	3.41118345904616	0	0
1128	Mesenchyme	0.812390941897931	-1.37227513146134	0	0
2631	Muscle	7.64160843543202	-6.6507328922722	0	0
3357	Mesenchyme	-6.73915175743907	-2.16050710034104	0	0
9314	Mesenchyme	-5.45033816643566	-3.25329913449021	0	0
7733	Mesenchyme	-4.04189423867076	-3.3536592895958	0	0
4818	Epithelium	11.2600080554882	4.50369892764358	0	0
1620	Blood and immune cells	9.97221966437489	-13.2298973972771	0	0
7157	Mesenchyme	-0.602808874329028	-0.10828493785592	0	0
3696	Mesenchyme	-3.49952296562999	-4.00680698704453	0	0
6218	Mesenchyme	-1.60988883324474	-3.40695847820969	0	0
1110	Mesenchyme	-2.9547253067097	0.435178739311973	0	0
8325	Mesenchyme	1.70747967414052	4.58027373004226	65	9
1604	Mesenchyme	-0.457284372528491	1.4021738593605	0	0
1711	Mesenchyme	-3.83519391365856	0.328946990254203	0	0
7636	Epithelium	9.94600887946278	4.25133906054763	1	0
